product_id,brand,product_type,ram,storage,color,condition,warranty,merchant_code,merchant_badge,merchant_city,merchant_province,cod,price,daily_view,total_sold
A1,oppo,oppo f3,4.0,64,unknown,new,yes,11.0,RM,kota tangerang selatan,banten,False,3149000,21,1185
A10,oppo,oppo f1s,3.0,32,gold,new,yes,10.0,RM,kota tangerang selatan,banten,False,2950000,4,162
A100,apple,apple iphone 4s,0.512,16,white,new,yes,127.0,RM,kota administrasi jakarta barat,jakarta,False,1100000,3,8
A101,apple,apple iphone 4s,0.512,32,unknown,new,unknown,108.0,RM,kota administrasi jakarta pusat,jakarta,False,1700000,1,12
A102,apple,apple iphone 4s,0.512,16,black,new,yes,127.0,RM,kota administrasi jakarta barat,jakarta,False,1100000,1,11
A103,apple,apple iphone 4s,0.512,32,unknown,new,unknown,111.0,RM,kota administrasi jakarta pusat,jakarta,False,1250000,3,46
A104,apple,apple iphone 4s,0.512,16,unknown,new,unknown,111.0,RM,kota administrasi jakarta pusat,jakarta,False,1100000,3,32
A105,apple,apple iphone 4s,0.512,64,white,new,unknown,389.0,RM,kota pontianak,kalimantan barat,False,1799000,5,4
A106,apple,apple iphone 4s,0.512,16,unknown,new,yes,136.0,RM,kota administrasi jakarta pusat,jakarta,False,1100000,4,102
A107,apple,apple iphone 4s,0.512,64,unknown,new,unknown,390.0,RM,kota administrasi jakarta timur,jakarta,False,2500000,1,43
A108,apple,apple iphone 4s,0.512,32,unknown,new,unknown,391.0,RM,kota pasuruan,jawa timur,False,2135000,3,8
A109,apple,apple iphone 4s,0.512,16,unknown,new,yes,392.0,RM,kab. jember,jawa timur,False,1390000,2,2
A110,apple,apple iphone 4s,0.512,16,white,new,yes,393.0,RM,kota administrasi jakarta pusat,jakarta,False,1050000,1,63
A111,apple,apple iphone 4s,0.512,32,black,new,yes,393.0,RM,kota administrasi jakarta pusat,jakarta,False,1150000,2,70
A112,apple,apple iphone 4s,0.512,16,unknown,new,unknown,390.0,RM,kota administrasi jakarta timur,jakarta,False,1500000,4,51
A113,apple,apple iphone 4s,0.512,64,unknown,new,unknown,108.0,RM,kota administrasi jakarta pusat,jakarta,False,1800000,1,31
A114,apple,apple iphone 5c,1.0,16,unknown,new,yes,131.0,RM,kota administrasi jakarta pusat,jakarta,False,1750000,6,30
A115,apple,apple iphone 5c,1.0,16,unknown,new,yes,397.0,RM,kota administrasi jakarta barat,jakarta,False,1999000,2,14
A116,apple,apple iphone 5c,1.0,16,green,new,unknown,157.0,RM,kota administrasi jakarta timur,jakarta,False,1985000,1,6
A118,apple,apple iphone 5c,1.0,32,unknown,new,yes,399.0,RM,kota administrasi jakarta pusat,jakarta,False,1825000,2,6
A119,apple,apple iphone 5c,1.0,16,unknown,new,unknown,400.0,RM,kota semarang,jawa tengah,False,2500000,1,16
A122,apple,apple iphone 5s,1.0,16,gray,new,yes,131.0,RM,kota administrasi jakarta pusat,jakarta,False,2000000,34,95
A123,apple,apple iphone 5s,1.0,16,gold,new,unknown,409.0,RM,kota administrasi jakarta utara,jakarta,False,8100000,1,4
A124,apple,apple iphone 5s,1.0,64,unknown,new,unknown,410.0,RM,kab. klaten,jawa tengah,False,2700000,3,4
A125,apple,apple iphone 5s,1.0,32,gold,new,yes,185.0,RM,kota administrasi jakarta timur,jakarta,False,5980000,3,12
A126,apple,apple iphone 5s,1.0,32,gray,new,unknown,113.0,RM,kota administrasi jakarta pusat,jakarta,False,3049000,1,12
A128,apple,apple iphone 5s,1.0,16,gray,new,yes,114.0,RM,kota administrasi jakarta barat,jakarta,False,2699000,1,3
A129,apple,apple iphone 5s,1.0,32,gold,new,unknown,108.0,RM,kota administrasi jakarta pusat,jakarta,False,4200000,3,8
A13,apple,apple iphone,4.0,128,unknown,new,unknown,90.0,RM,kab. tangerang,banten,False,12000000,2,5
A130,apple,apple iphone 5s,1.0,16,silver,new,yes,127.0,RM,kota administrasi jakarta barat,jakarta,False,2225000,1,8
A131,apple,apple iphone 5s,1.0,64,gold,new,unknown,113.0,RM,kota administrasi jakarta pusat,jakarta,False,3599000,1,3
A132,apple,apple iphone 5s,1.0,32,unknown,new,unknown,390.0,RM,kota administrasi jakarta timur,jakarta,False,3000000,3,76
A133,apple,apple iphone 5s,1.0,16,gold,new,yes,419.0,RM,kota administrasi jakarta barat,jakarta,False,2850000,3,66
A134,apple,apple iphone 5s,1.0,64,gold,new,unknown,420.0,RM,kota administrasi jakarta barat,jakarta,False,4400000,1,4
A135,apple,apple iphone 5s,1.0,64,gray,new,unknown,108.0,RM,kota administrasi jakarta pusat,jakarta,False,4150000,2,14
A136,apple,apple iphone 5s,1.0,16,gold,new,unknown,422.0,RM,kota administrasi jakarta selatan,jakarta,False,3150000,3,6
A137,apple,apple iphone 5s,1.0,16,gold,new,yes,127.0,RM,kota administrasi jakarta barat,jakarta,False,2225000,1,52
A138,apple,apple iphone 5s,1.0,16,gold,new,unknown,423.0,RM,kota bandung,jawa barat,False,4150000,1,3
A139,apple,apple iphone 5s,1.0,16,gold,new,yes,393.0,RM,kota administrasi jakarta pusat,jakarta,False,1899000,1,46
A141,apple,apple iphone 5s,1.0,16,silver,new,unknown,113.0,RM,kota administrasi jakarta pusat,jakarta,False,2799000,1,6
A143,apple,apple iphone 5s,1.0,64,silver,new,unknown,113.0,RM,kota administrasi jakarta pusat,jakarta,False,3399000,3,4
A144,apple,apple iphone 5s,1.0,32,gray,new,yes,426.0,RM,kota administrasi jakarta utara,jakarta,False,2180000,2,3
A145,apple,apple iphone 5s,1.0,64,unknown,new,yes,147.0,RM,kota administrasi jakarta timur,jakarta,False,3499999,1,8
A146,apple,apple iphone 5s,1.0,32,unknown,new,yes,112.0,RM,kota administrasi jakarta barat,jakarta,False,2700000,3,6
A147,apple,apple iphone 5s,1.0,16,gray,new,yes,127.0,RM,kota administrasi jakarta barat,jakarta,False,2225000,1,28
A148,apple,apple iphone 5s,1.0,16,gold,new,unknown,113.0,RM,kota administrasi jakarta pusat,jakarta,False,2899000,2,14
A149,apple,apple iphone 5s,1.0,32,unknown,new,yes,147.0,RM,kota administrasi jakarta timur,jakarta,False,2500000,2,3
A15,oppo,oppo f1 plus,4.0,64,unknown,new,yes,10.0,RM,kota tangerang selatan,banten,False,2850000,10,585
A150,apple,apple iphone 5s,1.0,32,gold,new,unknown,157.0,RM,kota administrasi jakarta timur,jakarta,False,2990000,1,4
A152,apple,apple iphone 5s,1.0,64,gold,new,unknown,202.0,RM,kota administrasi jakarta selatan,jakarta,False,3675000,1,7
A153,apple,apple iphone 5s,1.0,32,gold,new,unknown,113.0,RM,kota administrasi jakarta pusat,jakarta,False,3299000,1,14
A154,apple,apple iphone 5s,1.0,64,gold,new,unknown,423.0,RM,kota bandung,jawa barat,False,6475000,2,2
A155,apple,apple iphone 5s,1.0,16,unknown,new,yes,136.0,RM,kota administrasi jakarta pusat,jakarta,False,2175000,1,5
A156,apple,apple iphone 5s,1.0,32,unknown,new,yes,213.0,RM,kota administrasi jakarta selatan,jakarta,False,5500000,6,30
A158,apple,apple iphone 5s,1.0,16,gold,new,yes,437.0,RM,kota administrasi jakarta pusat,jakarta,False,2860000,1,28
A16,oppo,oppo f3 plus,4.0,64,unknown,new,yes,10.0,RM,kota tangerang selatan,banten,False,3599000,5,208
A160,apple,apple iphone 5s,1.0,32,gray,new,unknown,440.0,RM,kota administrasi jakarta barat,jakarta,False,3899000,2,3
A161,apple,apple iphone 5s,1.0,16,unknown,new,unknown,443.0,RM,kota administrasi jakarta timur,jakarta,False,3700000,2,4
A162,apple,apple iphone 5s,1.0,32,white,new,unknown,202.0,RM,kota administrasi jakarta selatan,jakarta,False,3480000,1,9
A163,apple,apple iphone 5s,1.0,32,gray,new,yes,444.0,RM,kota administrasi jakarta pusat,jakarta,False,3500000,1,9
A165,apple,apple iphone 5s,1.0,64,unknown,new,yes,192.0,RM,kota administrasi jakarta utara,jakarta,False,2300000,1,55
A166,apple,apple iphone 5s,1.0,16,gray,new,yes,393.0,RM,kota administrasi jakarta pusat,jakarta,False,2100000,1,7
A167,apple,apple iphone 6s,2.0,16,unknown,new,unknown,458.0,RM,kota tangerang,jakarta,False,9000000,1,3
A168,apple,apple iphone 6s,2.0,16,unknown,new,yes,131.0,RM,kota administrasi jakarta pusat,jakarta,False,4500000,1,4
A169,apple,apple iphone 6s,2.0,16,unknown,new,yes,461.0,RM,kab. sleman,yogyakarta,False,3160000,3,12
A17,infinix,infinix hot 5,2.0,16,unknown,new,unknown,102.0,RM,kota administrasi jakarta timur,jakarta,False,1595000,1,60
A171,apple,apple iphone 6s,2.0,16,unknown,new,yes,192.0,RM,kota administrasi jakarta utara,jakarta,False,3000000,2,12
A172,apple,apple iphone 6s,2.0,16,unknown,new,unknown,469.0,RM,kota administrasi jakarta barat,jakarta,False,2040000,3,156
A174,apple,apple iphone 6s,2.0,64,gray,new,yes,461.0,RM,kab. sleman,yogyakarta,False,3660000,2,3
A175,apple,apple iphone 6s,2.0,128,unknown,new,unknown,476.0,RM,kota administrasi jakarta barat,jakarta,False,13100000,1,3
A177,apple,apple iphone se,2.0,64,gold,new,unknown,91.0,RM,kota bekasi,jakarta,False,8490000,2,5
A178,apple,apple iphone se,1.0,64,gold,new,unknown,131.0,RM,kota administrasi jakarta pusat,jakarta,False,6800000,6,28
A179,apple,apple iphone se,2.0,64,unknown,new,yes,485.0,RM,kota administrasi jakarta pusat,jakarta,False,6700000,19,2
A18,xiaomi,xiaomi mi max,4.0,128,unknown,new,unknown,104.0,RM,kota batam,kepulauan riau,False,3849000,1,68
A180,apple,apple iphone se,2.0,64,unknown,new,yes,486.0,RM,kota administrasi jakarta pusat,jakarta,False,1950000,32,28
A181,apple,apple iphone se,0.512,16,unknown,new,yes,487.0,RM,kota administrasi jakarta pusat,jakarta,False,1850000,2,2
A182,xiaomi,xiaomi mi max 2,4.0,128,unknown,new,unknown,280.0,RM,kota administrasi jakarta barat,jakarta,False,3499000,3,84
A19,apple,apple iphone 4,0.512,16,unknown,new,yes,105.0,RM,kota medan,sumatera utara,False,1150000,4,18
A193,apple,apple iphone 6 plus,1.0,16,unknown,new,unknown,157.0,RM,kota administrasi jakarta timur,jakarta,False,5990000,1,8
A194,apple,apple iphone 6 plus,1.0,128,unknown,new,unknown,586.0,RM,kota malang,jawa timur,False,3500000,1,5
A195,apple,apple iphone 6 plus,1.0,128,unknown,new,yes,147.0,RM,kota administrasi jakarta timur,jakarta,False,6000000,2,5
A196,apple,apple iphone 6 plus,1.0,16,gold,new,unknown,589.0,RM,kota surabaya,jawa timur,False,8150000,1,4
A197,apple,apple iphone 6 plus,1.0,64,gold,new,yes,591.0,RM,kota bandung,jawa barat,False,6400000,1,2
